Cust_ID;Churn;Name;Longevity;Year_Birth;TypeTravel;RoomType;RewardPoints;Comfort;ReceptionSchedule;FoodDrink;Location;Wifi;Amenities;Staff;OnlineBooking;PriceQuality;RoomSpace;CheckOut;Checkin;Cleanliness;BarService
22;nochurn;Mr. Rodney Fields;yes;1979;business;single;5722;5;5;1;5;2;4;5;2;2;2;2;4;2;5
23;churn;Mr. Theodore Vargas;yes;1963;leisure;double;4692;2;5;2;4;4;2;2;4;5;5;2;1;1;4
24;churn;Mr. Ryan Hicks;yes;1996;leisure;double;5274;1;5;1;5;5;1;5;5;4;4;4;3;4;5
25;churn;Mr. Matthew Nguyen;yes;1970;business;single;3076;4;3;3;3;3;3;3;3;3;3;4;4;3;2
26;churn;Ms. Mrs. Jill Nichols;no;1984;business;double;5739;2;0;2;2;5;2;5;5;1;1;2;5;4;5
27;churn;Mr. Edward Collier;y;1957;leisure;double;4424;4;4;3;3;4;3;4;4;4;4;3;1;3;4
28;nochurn;Ms. Emily Thomas;yes;;leisure;double;4760;0;5;0;3;5;0;3;5;4;4;5;4;4;5
29;churn;Mr. Bruce Freeman;no;1986;business;single;4680;3;3;3;3;4;3;4;4;4;2;4;3;5;4
30;churn;Mr. Edward Cain;y;1974;leisure;double;5021;2;4;3;1;5;3;4;5;4;2;5;3;2;5
31;churn;Mr. Richard Vaughn;yes;1981;business;double;4404;3;2;2;2;3;3;3;3;4;1;4;3;3;3
32;churn;Ms. Jennifer Shaw;no;1983;business;suite;5165;4;4;4;4;4;4;4;4;3;2;3;1;3;4
33;churn;Mr. Anthony Francis;yes;1955;leisure;double;5083;2;1;2;3;5;2;5;5;4;1;4;1;4;5
34;churn;Mr. Russell Velasquez;no;1978;business;double;5222;2;0;2;3;1;2;1;1;3;4;2;3;3;1
35;nochurn;Ms. Miranda Sharp;no;1998;business;double;5133;4;0;4;1;5;4;5;5;5;2;4;5;5;5
36;churn;Mr. Steven Alvarez;yes;1996;leisure;single;5254;3;4;5;1;3;5;3;3;5;2;5;3;4;3
37;churn;Ms. Melissa Page;yes;1965;leisure;double;6523;4;4;4;3;3;5;4;3;3;4;5;4;3;3
38;nochurn;Mr. Stephen Ward;yes;1970;business;single;5608;2;2;2;2;4;4;4;4;4;4;4;4;4;3
39;nochurn;Mr. Matthew Martin;yes;1973;business;single;5067;1;1;1;1;3;5;5;4;4;4;4;4;4;4
40;nochurn;Ms. Kimberly Reed;yes;1978;business;single;6578;3;3;3;3;5;4;4;4;4;4;4;4;4;5
41;churn;Ms. Ashley Lewis;no;1967;business;single;5371;2;2;2;5;1;2;1;1;3;5;4;3;4;1
42;nochurn;Mr. George Wells;no;1997;business;double;6001;0;4;0;4;2;0;2;2;5;5;5;5;4;2
43;nochurn;Ms. Amy Floyd;yes;1978;business;single;5219;2;2;2;2;2;3;4;3;3;4;3;3;3;4
44;churn;Mr. Mitchell Bond;yes;1982;business;single;3578;3;4;5;4;1;3;2;3;3;3;3;1;3;2
45;nochurn;Ms. Danielle Torres;yes;1965;business;single;6099;5;5;5;5;5;4;4;5;5;5;5;4;5;3
46;nochurn;Mr. Timothy Rodriguez;yes;1978;business;single;5072;0;0;0;1;5;5;4;5;5;5;5;4;5;3
47;churn;Mr. Michael Boyle;yes;1999;leisure;double;4333;3;3;3;3;4;3;4;4;2;1;3;2;4;4
48;nochurn;Ms. Laura Johnson;yes;1992;business;single;2426;1;1;1;1;5;5;5;5;4;2;4;3;4;5
49;nochurn;Ms. Theresa Newton;yes;1980;business;double;4883;4;3;3;3;4;5;4;4;1;2;5;5;5;4
50;nochurn;Ms. Heidi Baker;yes;1984;business;single;6692;0;0;0;3;5;5;5;5;5;2;2;3;5;4
51;nochurn;Mr. Brian Bryant;yes;1970;business;single;6525;1;1;1;1;2;4;4;4;4;4;4;4;4;5
52;nochurn;Ms. Kathy Sweeney;yes;1962;business;single;5560;2;2;2;2;5;4;4;5;5;5;5;3;5;3
53;nochurn;Ms. Brenda Newton;yes;1973;business;single;6088;5;5;5;5;2;4;5;4;4;4;4;5;4;5
54;churn;Mr. Richard Buck;yes;1959;leisure;double;3972;2;4;2;3;1;2;1;1;3;5;5;5;5;1
55;churn;Mr. Keith Delgado;yes;1976;leisure;suite;5216;2;5;3;5;5;3;5;5;5;3;5;2;2;5
56;nochurn;Ms. Allison Hernandez;yes;1978;leisure;double;6587;5;5;5;1;4;5;5;5;5;5;3;4;5;5
57;churn;Mr. Marcus White;no;1995;business;double;4983;3;3;3;2;5;3;4;5;3;1;1;1;4;5
58;churn;Mr. Christopher Dougherty Jr.;yes;1964;business;double;5958;2;1;1;1;2;2;2;2;2;3;4;2;4;2
59;churn;Mr. Robert Bryan;yes;1988;leisure;single;4258;3;5;3;3;4;3;4;4;5;2;4;5;5;4
60;churn;Ms. Patricia Ho;no;1972;business;single;4754;4;4;4;2;4;4;2;4;5;3;4;5;4;4
61;churn;Mr. Shaun Drake;yes;1970;leisure;double;4597;2;4;2;4;4;2;1;4;4;4;2;4;3;4
62;nochurn;Mr. Christopher Gamble;yes;1971;business;single;4925;5;5;5;5;2;4;4;5;5;5;5;3;5;4
63;churn;Mr. Joel Bowman;yes;1988;leisure;double;5364;2;5;2;3;1;2;1;1;3;5;4;4;4;1
64;nochurn;Ms. Jill Berry;yes;1982;business;single;5761;4;4;4;4;5;5;4;4;4;4;4;4;4;4
65;nochurn;Ms. Erika Mills;yes;1979;business;single;3056;1;1;1;1;3;4;4;2;2;3;2;3;2;4
66;nochurn;Ms. Megan Walls;yes;1997;business;single;3946;2;2;2;2;5;5;5;5;5;4;5;4;4;5
67;nochurn;Ms. Jessica Davis;yes;1965;business;double;6662;4;5;5;5;3;5;4;4;4;4;4;5;4;5
68;nochurn;Mr. Jeffery Wells;yes;1971;business;single;4153;0;5;0;2;4;1;1;1;1;1;1;1;1;3
69;nochurn;Ms. Rachael Gould;yes;1984;business;single;3258;2;2;2;2;4;2;3;4;4;5;4;4;4;2
70;nochurn;Ms. Ashley Hines;yes;1961;business;single;6659;2;2;2;2;3;3;5;5;5;5;5;2;5;2
71;churn;Mr. Jeff Jones;yes;1981;leisure;double;5101;3;3;0;3;0;3;5;5;1;1;1;5;5;5
72;nochurn;Mr. David Cook;yes;1986;business;single;4898;3;3;3;3;3;5;5;5;5;5;5;3;5;3
73;churn;Ms. Tammy Berry;no;1983;business;single;5318;4;4;4;2;3;4;3;3;4;2;5;4;5;3
74;churn;Mr. Ryan Thomas;yes;1982;leisure;double;5671;2;4;2;4;4;2;4;4;2;5;3;1;3;4
75;churn;Ms. Kim Brown;yes;1977;business;single;4586;2;5;5;5;2;2;2;4;3;1;3;2;4;2
76;nochurn;Ms. Ashley Kline;yes;1980;leisure;double;4971;3;3;3;3;5;4;2;5;5;5;5;4;5;2
77;nochurn;Ms. Tracy Washington;yes;1982;business;single;6643;3;3;3;3;5;4;5;5;5;5;5;5;5;3
78;churn;Ms. Theresa Ward;yes;1969;leisure;double;6403;4;1;4;4;1;4;3;5;5;4;5;1;5;2
79;nochurn;Ms. Wanda Walker;yes;1985;business;single;6606;4;1;4;4;5;4;4;4;4;4;4;4;4;3
80;churn;Mr. Ralph Murphy;yes;2002;leisure;single;3827;3;4;3;3;2;3;2;2;5;2;5;5;4;2
81;nochurn;Mr. Christopher Martinez;yes;1962;business;single;6538;1;1;1;1;3;4;4;4;4;4;4;5;4;5
82;churn;Mr. Zachary Taylor;yes;1993;business;suite;4769;3;4;4;4;3;3;3;3;2;5;4;1;3;3
83;churn;Mr. Kevin Jones;yes;1998;business;single;4650;2;3;3;3;2;2;2;2;4;4;4;4;3;2
84;nochurn;Mr. Reginald Harris;yes;1957;leisure;double;5410;0;4;0;2;3;0;3;3;1;4;5;3;1;3
85;nochurn;Ms. Angela Garcia;yes;1982;business;double;4513;4;3;3;3;4;4;4;4;1;3;1;4;1;4
86;nochurn;Mr. Adam Hill;yes;1985;business;single;4322;4;4;4;4;5;5;5;1;1;4;5;5;1;5
87;nochurn;Ms. Mrs. Sharon Morrow;yes;1957;business;double;6945;2;3;3;3;5;4;2;1;1;2;1;2;1;4
88;churn;Mr. Eric Marshall;yes;1975;business;single;6176;1;2;2;2;5;3;4;1;1;1;1;3;1;2
89;churn;Ms. Jennifer Morton;yes;1959;leisure;double;5399;3;5;4;2;5;3;4;2;2;4;4;5;2;4
90;churn;Ms. Carolyn Morris;yes;1982;business;single;6107;2;5;5;5;5;4;3;2;2;2;2;1;2;2
91;nochurn;Ms. Allison Olson;yes;1992;leisure;double;4594;2;2;2;2;4;5;4;5;5;5;5;3;5;4
92;churn;Ms. Bailey Johnston;yes;2007;leisure;double;5611;4;2;4;2;1;4;1;1;1;2;2;3;1;1
93;churn;Mr. James Campbell;yes;1976;leisure;double;5075;4;5;4;1;5;4;5;5;5;2;5;5;4;5
94;nochurn;Ms. Rose Morton;yes;1957;leisure;double;6624;4;5;1;4;3;4;3;4;4;1;4;2;4;5
95;churn;Mr. John Hall;no;1986;business;single;4444;3;3;3;3;5;3;5;5;5;2;4;5;4;5
96;churn;Ms. Cynthia Banks;yes;1978;leisure;double;6444;4;5;4;3;5;4;5;3;3;4;3;5;3;3
97;churn;Mr. Mark Mann;yes;1955;leisure;suite;4456;1;4;1;2;2;1;2;2;5;4;5;4;4;2
98;churn;Mr. Joshua Webster;yes;1972;leisure;double;4900;3;2;3;2;3;3;3;3;3;4;2;3;3;3
99;nochurn;Mr. Garrett Torres;yes;1969;business;single;4994;5;5;4;5;3;5;4;4;4;4;4;5;4;3
100;churn;Ms. Kimberly Anderson;no;1982;business;single;5310;3;3;3;3;4;3;4;4;3;5;5;4;4;4
101;nochurn;Mr. Todd Webb;yes;1987;business;single;3229;2;2;2;2;3;4;4;4;4;4;4;3;4;4
102;churn;Ms. Sarah Richards;no;1972;business;suite;5255;2;1;1;3;4;2;2;4;3;3;2;1;2;4
103;churn;Mr. Wesley Oconnor;yes;1979;business;single;4884;1;1;1;1;3;4;4;1;1;1;1;1;1;2
104;churn;Mr. Steven Dixon;yes;1968;leisure;double;4932;2;1;2;3;4;2;4;4;4;4;4;1;4;4
105;churn;Mr. Andrew Mcclure;yes;1992;business;single;4785;3;4;4;4;3;3;3;3;2;5;4;2;4;3
106;churn;Ms. Crystal Petersen;no;1982;business;single;5265;3;3;3;4;5;3;5;5;3;3;4;3;4;5
107;churn;Mr. Robert Hernandez;yes;1976;leisure;double;4956;3;1;3;3;3;3;4;3;2;3;3;1;4;3
108;churn;Ms. Mrs. Jodi Williams;no;1994;business;double;4739;2;4;2;4;1;2;1;1;4;3;4;1;3;1
109;nochurn;Ms. Lauren Hatfield;yes;1991;business;single;4439;2;2;2;2;5;5;5;5;3;5;5;3;4;5
110;nochurn;Mr. Ricky Duarte;yes;1974;business;single;5390;5;5;5;5;3;5;4;2;2;2;2;5;2;5
111;nochurn;Ms. Melissa Martin;yes;2001;leisure;double;5052;2;2;2;2;2;2;3;4;4;4;4;3;4;1
112;nochurn;Mr. Michael Anderson;no;1964;business;single;4613;5;5;5;2;2;5;2;2;3;2;4;5;5;2
113;churn;Ms. Laura Reid;no;2004;business;double;5238;1;2;1;3;1;1;1;1;1;3;3;4;4;1
114;churn;Mr. Lonnie Garza DDS;yes;1959;business;single;4412;1;5;1;5;2;3;3;3;3;3;1;3;3;4
115;churn;Ms. Ashley Conrad;no;1982;business;single;5091;4;4;4;3;1;4;1;1;4;2;5;3;4;1
116;churn;Ms. Sandra Hunter;yes;1962;business;double;6573;3;3;3;3;3;3;3;3;3;3;3;4;3;1
117;nochurn;Ms. Amanda Smith;yes;1980;business;single;4142;1;1;4;1;3;4;4;3;3;3;3;5;3;5
118;nochurn;Ms. Rachel Morris;yes;1962;leisure;double;6129;4;4;4;4;3;4;4;4;4;4;4;3;4;3
119;nochurn;Ms. Tiffany Holt;yes;1985;business;single;4663;3;3;3;3;3;4;5;4;4;4;4;3;4;4
120;churn;Ms. Jennifer Smith;no;2008;business;double;4504;2;2;2;3;1;2;1;1;1;1;4;1;3;1
121;churn;Ms. Diamond Hill;no;2003;business;double;5107;3;1;3;3;5;3;5;5;3;1;3;1;4;5
122;nochurn;Mr. David Ellis;yes;1977;leisure;double;4998;0;4;0;3;5;0;5;5;3;2;4;3;4;5
123;nochurn;Mr. Justin Keith;yes;2010;leisure;double;4642;4;4;4;3;1;4;1;1;4;5;5;5;4;1
124;nochurn;Mr. Jacob Abbott;yes;1993;leisure;double;4941;5;2;5;4;4;2;4;4;4;2;4;3;4;4
125;churn;Mr. Jeffrey Stewart;yes;1959;leisure;double;5094;4;5;3;1;5;3;1;5;4;3;5;4;4;5
126;nochurn;Mr. Edgar Johnson;yes;1967;business;double;5524;5;3;3;3;5;5;5;5;5;1;1;1;3;5
127;churn;Ms. Elizabeth Tyler;yes;;business;double;5151;2;2;2;2;2;2;2;2;3;4;3;2;4;2
128;nochurn;Mr. Daniel Payne;yes;1970;business;single;6117;5;5;4;5;3;5;5;4;4;4;4;4;4;5
129;churn;Ms. Ana Whitney;no;1998;business;double;5637;1;1;1;4;4;1;1;4;2;1;4;3;3;4
130;nochurn;Ms. Karina Boyd;yes;1986;leisure;double;5328;5;5;5;5;2;4;5;4;4;4;4;3;4;5
131;churn;Mr. James Floyd;yes;1984;business;single;3098;4;3;3;3;3;3;4;4;4;4;4;3;4;2
132;churn;Ms. Summer Garcia;no;2011;business;double;5133;1;2;2;2;1;2;1;1;1;3;3;3;2;1
133;nochurn;Ms. Tammy Smith;yes;1966;leisure;single;6520;0;0;0;3;4;5;4;2;2;2;2;3;2;4
134;churn;Mr. Gerald Richardson;no;1996;business;single;5233;3;3;2;3;4;2;4;4;2;3;4;2;4;4
135;nochurn;Ms. Barbara Key;yes;1978;business;single;5874;4;4;4;4;5;5;5;2;2;2;2;4;2;4
136;nochurn;Mr. Joshua Carroll;no;2001;business;double;4332;3;3;3;5;4;3;4;4;3;3;5;3;4;4
137;churn;Mr. Daniel Giles;no;1991;business;double;4873;2;2;2;3;3;2;3;3;1;4;4;4;3;3
138;churn;Mr. James Matthews;yes;1962;leisure;double;5264;3;4;3;4;3;3;3;3;1;5;3;1;5;3
139;churn;Mr. Gabriel Singh;yes;1982;business;double;5607;1;4;4;4;1;1;1;1;2;5;3;3;4;1
140;nochurn;Mr. Christopher Bartlett;yes;1968;business;single;6645;0;0;0;4;2;5;4;5;5;5;5;3;5;4
141;nochurn;Ms. Carmen Hurst;yes;1974;business;double;6632;4;4;4;4;2;2;5;5;5;4;5;4;5;3
142;nochurn;Ms. Michelle Butler;yes;2011;leisure;single;5353;4;4;4;4;4;4;4;5;5;4;5;3;5;3
143;churn;Mr. Joseph Rivera;yes;1951;leisure;double;5102;4;5;4;5;1;4;1;1;5;3;4;4;4;1
144;churn;Mr. James Taylor;yes;1961;business;single;5366;2;3;3;3;1;3;4;2;2;2;2;1;2;2
145;churn;Mr. Lucas Barnes;yes;1980;business;single;4456;2;3;3;3;1;4;3;2;2;2;2;1;2;1
146;nochurn;Ms. Alicia White;yes;1974;business;single;4680;2;2;2;2;2;5;4;4;4;4;4;4;4;4
147;nochurn;Ms. Robin Berg;yes;2001;leisure;double;5080;5;5;5;5;2;4;5;4;4;4;4;3;4;5
148;nochurn;Ms. Elizabeth Santos;no;;business;single;5370;4;4;4;2;2;4;2;2;5;4;4;4;4;2
149;nochurn;Mr. James Vega;yes;1984;business;single;6791;2;2;2;2;2;2;2;5;5;5;5;3;5;1
150;nochurn;Ms. Jackie Brown;yes;1966;leisure;double;6131;2;2;2;2;4;4;4;4;4;5;2;3;1;4
151;churn;Mr. Jerry Cannon;yes;1986;leisure;double;4672;3;1;3;2;4;3;4;4;3;1;2;2;3;4
152;churn;Mr. Nathaniel Lopez;yes;1974;leisure;double;4705;2;4;2;4;4;2;4;4;4;5;4;3;5;4
153;nochurn;Mr. Corey Lucas;yes;1965;business;single;5004;2;2;2;2;3;5;5;4;4;4;4;3;4;3
154;churn;Ms. Melissa Johnson;yes;1985;business;single;4247;1;5;5;5;4;3;4;1;1;1;1;4;1;4
155;nochurn;Ms. Jessica Brewer;yes;1978;leisure;double;5957;4;4;4;4;3;4;5;5;5;5;5;4;5;5
156;nochurn;Ms. Stephanie Smith;yes;2008;leisure;double;5600;3;3;3;3;3;5;5;4;4;5;4;3;4;5
157;churn;Mr. Craig White;yes;1962;leisure;single;6346;1;5;1;5;4;4;5;3;3;1;3;3;3;5
158;nochurn;Ms. Felicia Collins;yes;1993;leisure;double;5833;1;1;1;1;4;3;5;1;1;2;1;3;1;4
159;nochurn;Ms. Theresa Walker;yes;1991;leisure;double;3822;1;1;1;1;5;5;4;5;5;5;5;5;5;5
160;nochurn;Ms. Mary Mcpherson;no;1993;business;single;5053;0;0;0;1;5;0;5;5;3;2;5;4;5;5
161;churn;Mr. Larry Spence;yes;1982;business;single;4193;4;5;5;5;2;3;4;1;1;1;4;4;1;4
162;churn;Mr. Alex Chavez;yes;1994;business;single;2263;2;4;5;4;2;2;2;4;3;2;3;2;4;2
163;churn;Ms. Nicole Ware;yes;1963;business;suite;6741;4;1;1;1;3;3;4;4;4;4;4;2;4;3
164;churn;Ms. Bonnie Hernandez;yes;1987;leisure;double;4809;3;5;3;5;5;3;5;5;3;3;5;5;4;5
165;churn;Mr. William Marquez;yes;1974;business;single;5710;1;4;3;3;4;4;4;1;1;1;1;2;1;2
166;nochurn;Mr. Cameron Myers;yes;1967;business;double;5213;4;1;1;1;4;4;4;4;5;4;2;2;4;4
167;nochurn;Mr. Robert English;yes;1975;business;single;6144;1;1;1;1;4;4;4;5;5;5;5;5;5;4
168;nochurn;Mr. Grant Adams;yes;1953;business;single;6736;1;1;1;1;5;4;5;4;4;4;4;4;4;4
169;nochurn;Ms. Elizabeth Lawson;yes;;business;single;3669;1;1;1;1;5;5;5;5;4;5;5;4;4;5
170;churn;Ms. Ashley Bailey;no;1998;business;double;4972;2;0;2;4;2;2;1;2;4;3;5;5;4;2
171;nochurn;Ms. Elizabeth Morgan;yes;;business;single;4593;1;1;1;1;2;4;5;4;4;4;5;2;4;4
172;nochurn;Ms. Patty Woods;yes;1965;leisure;double;6391;5;3;5;3;2;2;3;3;3;5;3;5;3;1
173;churn;Ms. Heather Blair;no;1981;business;single;5712;1;1;1;3;2;1;2;2;1;2;4;1;3;2
174;churn;Ms. Jordan Mendez;no;1995;business;single;5538;3;2;3;3;3;3;3;3;3;2;3;3;4;3
175;churn;Ms. Tanya Clark;yes;1960;business;double;6551;1;2;2;2;3;2;2;1;1;1;1;4;1;4
176;nochurn;Mr. John Conley;yes;1987;business;single;3334;1;1;1;1;5;2;2;5;5;5;5;5;5;2
177;nochurn;Ms. Regina Jordan;yes;1980;business;single;3234;5;5;5;5;3;4;5;5;5;5;5;4;5;3
178;nochurn;Ms. Valerie Morrow;yes;2006;leisure;double;5257;3;3;5;3;3;5;5;5;5;5;5;4;5;5
179;churn;Mr. Wayne Kelly;no;1967;business;single;3716;3;3;3;2;5;3;5;5;4;3;5;4;4;5
180;churn;Ms. Rachael Armstrong;yes;2014;leisure;double;5371;4;3;4;3;2;4;2;2;3;5;3;1;2;2
181;churn;Mr. Jonathan Jenkins;yes;1976;leisure;double;5097;1;5;1;1;2;1;2;2;3;5;5;3;4;2
182;churn;Mr. Jesse Martin MD;yes;1999;leisure;double;5276;2;0;4;3;3;4;3;3;5;2;4;3;4;3
183;churn;Mr. David Richardson;yes;1947;business;single;6713;3;5;5;5;2;3;3;3;3;3;3;1;3;4
184;nochurn;Ms. Ashley Nguyen;yes;1969;business;single;5490;2;2;2;2;3;5;4;4;4;4;4;4;4;5
185;nochurn;Mr. David Anderson;yes;1977;business;single;6766;0;0;0;3;2;5;5;5;5;5;5;3;5;5
186;nochurn;Ms. Michelle Davis;yes;1982;business;suite;5768;3;5;5;5;3;2;3;3;5;1;5;1;4;3
187;nochurn;Ms. Jessica Grimes;no;1993;business;single;4694;4;4;4;1;3;4;3;3;4;5;5;4;4;3
188;churn;Ms. Deborah Myers;no;1994;business;double;5352;2;0;2;3;4;2;4;4;1;5;3;4;3;4
189;nochurn;Ms. Christina Smith;yes;1979;business;single;4512;1;1;1;1;2;5;4;4;4;4;4;5;4;3
190;churn;Ms. Alicia Scott;yes;1973;business;double;6763;1;1;1;1;5;4;3;1;1;1;1;4;1;2
191;churn;Mr. Charles Johns;no;1991;business;double;6087;2;0;2;2;5;2;5;5;1;2;3;2;3;5
192;nochurn;Ms. Samantha Morgan;yes;1973;business;single;4072;4;4;4;4;2;5;5;5;5;5;5;4;5;5
193;nochurn;Mr. Jeffrey Morrison;yes;1990;business;single;3686;1;5;1;1;5;5;5;5;3;5;3;4;4;5
194;nochurn;Mr. Mark Schultz;yes;1961;business;single;3002;4;4;4;4;4;5;5;5;5;5;5;3;5;5
195;nochurn;Ms. Lori Berry;yes;1972;business;double;6595;5;4;4;4;2;2;4;5;5;5;5;2;5;5
196;nochurn;Ms. Robin Brock;yes;1959;leisure;double;5565;0;4;0;3;4;4;5;4;4;4;4;4;4;4
197;nochurn;Mr. William Baird;no;1996;business;single;5491;4;1;4;5;2;4;5;2;4;4;4;3;5;2
198;nochurn;Ms. Michele Bailey;yes;1990;business;single;4236;1;1;1;1;5;5;5;5;5;4;5;5;4;5
199;nochurn;Ms. Connie Griffin;yes;1970;business;single;6216;4;4;5;4;3;4;4;4;4;4;4;3;4;4
200;churn;Mr. Andrew Stewart;yes;2006;leisure;suite;5464;2;4;2;3;5;2;5;5;5;4;5;5;5;5
201;nochurn;Mr. Michael Hansen;yes;1964;business;single;5784;3;3;3;3;4;4;4;5;5;5;5;5;5;3
202;churn;Ms. Melissa Ho;yes;1983;business;single;2178;2;5;5;5;2;2;2;1;4;3;4;2;4;2
203;churn;Ms. Danielle Mullins;yes;1955;business;double;3083;3;1;1;1;3;3;3;1;2;2;4;3;2;3
204;nochurn;Ms. Isabella Wagner;yes;1972;business;single;6165;3;3;3;3;2;4;4;5;5;5;5;4;5;4
205;churn;Mr. Raymond Mcgee;yes;1966;leisure;double;5811;2;5;2;1;5;2;4;5;3;2;4;4;5;5
206;churn;Mr. David Nichols;no;1994;business;single;4813;1;1;1;3;1;1;1;1;3;2;5;4;5;1
207;churn;Mr. Anthony Perez;yes;1966;leisure;double;4879;2;2;2;3;2;2;2;2;2;1;4;2;4;2
208;nochurn;Mr. Thomas Carr;yes;1979;business;single;3559;0;3;0;1;5;5;5;5;5;5;5;1;5;3
209;churn;Mr. Lucas Krueger;no;1983;business;double;5500;2;4;3;4;3;3;1;3;4;5;3;3;3;3
210;nochurn;Ms. Kelly Freeman;yes;2005;business;single;4373;3;3;3;3;4;4;4;4;5;3;5;3;2;4
211;churn;Mr. Jack White;yes;1976;business;single;3189;4;3;3;3;1;3;3;4;4;4;4;2;4;4
212;nochurn;Ms. Anna Russell;yes;1997;business;single;2370;2;2;2;2;4;4;4;4;5;3;5;4;4;4
213;nochurn;Mr. Ernest Hurst;yes;1978;business;double;5457;5;2;2;2;5;5;5;5;4;2;1;5;4;5
214;churn;Mr. Bernard Garcia;yes;2005;business;single;5690;3;5;3;5;2;2;3;2;1;5;4;1;3;2
215;churn;Ms. Katherine Wilson;yes;2007;business;single;3552;4;5;5;5;4;4;4;3;3;3;3;4;4;4
216;churn;Mr. Kenneth Mullins;yes;1976;leisure;double;5468;3;3;3;3;4;3;4;4;5;5;1;3;3;4
217;nochurn;Ms. Anita Erickson;yes;1986;business;single;6706;2;2;3;2;5;4;4;5;5;5;5;1;5;2
218;churn;Ms. Michelle Hernandez;no;2003;business;double;5242;2;4;3;4;4;3;4;4;3;1;4;2;4;4
219;churn;Mr. Jay Sutton;yes;2006;leisure;double;5195;2;5;2;4;3;2;3;3;2;1;2;3;4;3
220;nochurn;Ms. Stephanie Jones;yes;1971;business;single;3969;4;4;4;4;4;4;4;4;4;4;4;5;4;5
221;nochurn;Ms. Deborah Griffin;yes;1993;leisure;double;5214;5;5;5;5;2;4;5;4;4;4;4;3;4;4
222;churn;Mr. Justin Strickland;yes;1969;leisure;double;5314;2;5;2;3;3;2;3;3;1;1;2;2;2;3
223;nochurn;Ms. Brittany Galvan;yes;1976;business;single;3595;3;3;3;3;5;5;4;4;4;4;4;5;4;5
224;churn;Ms. Felicia Herrera;yes;1982;business;single;5535;3;2;2;2;4;4;3;3;3;3;3;1;3;1
225;churn;Mr. Michael Wilcox;yes;1984;business;double;4529;1;3;3;3;1;1;1;1;4;2;1;2;1;1
226;churn;Ms. Elizabeth Logan;no;;business;single;5308;4;4;4;3;4;4;4;4;4;5;3;4;4;4
227;churn;Mr. Andrew Shields;no;2001;business;double;5736;2;5;2;4;2;2;2;2;5;1;3;1;3;2
228;nochurn;Mr. Justin Hensley;yes;1977;business;double;5560;4;4;4;4;4;4;4;4;3;1;5;5;3;4
229;nochurn;Ms. Bridget Beck;no;1993;business;single;4678;5;5;5;3;4;0;4;4;4;2;5;3;4;4
230;churn;Ms. Lori Ballard;yes;1996;business;suite;5048;2;4;4;4;2;2;2;2;1;3;4;1;4;2
